Ward;Affordable_Units;Geo_Point;Geo_Shape;JC_Ward
C;150.0;40.7340588165,-74.0593233641;"{""coordinates"": [[[-74.0548715839, 40.7433401058], [-74.0545447007, 40.7429540295], [-74.0539449265, 40.7437884624], [-74.0515569727, 40.7428171712], [-74.0512183636, 40.7433035859], [-74.048560759, 40.7421969461], [-74.0484671463, 40.7421205118], [-74.045204221, 40.7409353569], [-74.0445417245, 40.7406867431], [-74.0451833352, 40.7397026172], [-74.0451937971, 40.7396288013], [-74.0451316959, 40.7396077251], [-74.0450717231, 40.7396396829], [-74.0440608568, 40.7405030253], [-74.0435876205, 40.7403240791], [-74.043612025, 40.7402900721], [-74.0437027612, 40.7401161231], [-74.043600497, 40.7399966542], [-74.0433767962, 40.7398568036], [-74.0434773699, 40.7396955893], [-74.0436015304, 40.7393174413], [-74.0436536651, 40.7391148603], [-74.0436540848, 40.7390534425], [-74.0437413987, 40.7387528665], [-74.0436962034, 40.7386001685], [-74.0436451476, 40.7385459244], [-74.0436135727, 40.7385125164], [-74.0436697815, 40.738274781], [-74.0438117516, 40.7378973893], [-74.0438166317, 40.7377059927], [-74.0439009382, 40.7375446322], [-74.042910671, 40.7365548093], [-74.0428152892, 40.7363083125], [-74.0437731278, 40.7361340332], [-74.0445552791, 40.736006796], [-74.0462028024, 40.7356066675], [-74.0482692966, 40.7350674037], [-74.0490508744, 40.7340069982], [-74.0501277674, 40.7328486906], [-74.0504382859, 40.7325319045], [-74.0513267114, 40.731878517], [-74.0514922275, 40.7317227688], [-74.051678371, 40.7315566743], [-74.051884687, 40.7314480014], [-74.0514952028, 40.7312796711], [-74.0519850002, 40.7307009998], [-74.0535845037, 40.7283267568], [-74.0539465363, 40.7274732155], [-74.0544965242, 40.7261772889], [-74.0561035108, 40.7235821645], [-74.0546979795, 40.7231487174], [-74.0554361134, 40.7210234051], [-74.0616442304, 40.7229895874], [-74.0641534753, 40.723779669], [-74.0641918182, 40.7237682343], [-74.0672168732, 40.7248210907], [-74.0680505745, 40.7253014014], [-74.0676901286, 40.7258815462], [-74.0675006059, 40.7264352682], [-74.0671942794, 40.7271795871], [-74.0700992207, 40.7283216758], [-74.0694971155, 40.7292421425], [-74.0707001398, 40.7297157979], [-74.0714516792, 40.7300678652], [-74.0734886234, 40.7308782201], [-74.071348501, 40.7343995282], [-74.0700120393, 40.7365423333], [-74.0698735978, 40.7367555525], [-74.0725961946, 40.7375476233], [-74.0728079482, 40.7376578812], [-74.072321469, 40.738709115], [-74.0720834068, 40.7394954026], [-74.0717368511, 40.7400988305], [-74.0715989762, 40.7402234319], [-74.070559079, 40.7419766185], [-74.0676804087, 40.7413528522], [-74.0660119971, 40.7409886232], [-74.0629161596, 40.7403012769], [-74.0616711828, 40.7399654354], [-74.05826884, 40.7447179091], [-74.0548715839, 40.7433401058]]], ""type"": ""Polygon""}";Ward C
D;159.0;40.7518979164,-74.0590341722;"{""coordinates"": [[[-74.0435876205, 40.7403240791], [-74.0440608568, 40.7405030253], [-74.0450717231, 40.7396396829], [-74.0451316959, 40.7396077251], [-74.0451937971, 40.7396288013], [-74.0451833352, 40.7397026172], [-74.0445417245, 40.7406867431], [-74.045204221, 40.7409353569], [-74.0484671463, 40.7421205118], [-74.048560759, 40.7421969461], [-74.0512183636, 40.7433035859], [-74.0515569727, 40.7428171712], [-74.0539449265, 40.7437884624], [-74.0545447007, 40.7429540295], [-74.0548715839, 40.7433401058], [-74.05826884, 40.7447179091], [-74.0616711828, 40.7399654354], [-74.0629161596, 40.7403012769], [-74.0660119971, 40.7409886232], [-74.0676804087, 40.7413528522], [-74.070559079, 40.7419766185], [-74.072163172, 40.7422868483], [-74.074737205, 40.7427214477], [-74.0759299495, 40.7429629899], [-74.0769641501, 40.7431292763], [-74.0755451347, 40.7442872065], [-74.0749030308, 40.7469783605], [-74.0755179354, 40.7485650448], [-74.0771785649, 40.7495217929], [-74.0790194445, 40.7495232392], [-74.0794540181, 40.7514052282], [-74.077238106, 40.752173753], [-74.0766470379, 40.7523787376], [-74.0759089938, 40.7524077894], [-74.0756576654, 40.7525233241], [-74.0754485049, 40.7525754906], [-74.0753361892, 40.7527232973], [-74.0753353135, 40.7528609269], [-74.0753204488, 40.7530090921], [-74.0753752599, 40.7531469266], [-74.0755131977, 40.7533485896], [-74.0757070927, 40.7535081096], [-74.0760393326, 40.7538057703], [-74.0762330286, 40.7539970501], [-74.0763713067, 40.7541457776], [-74.0764957979, 40.7542732801], [-74.0765784564, 40.7544112162], [-74.0765905649, 40.7546971132], [-74.07664491, 40.7549090553], [-74.0765044127, 40.7551096953], [-74.0763086965, 40.7552360226], [-74.0760575598, 40.7553197975], [-74.0759461825, 40.7553193883], [-74.0755422377, 40.7553496648], [-74.0753471926, 40.7553701216], [-74.0752214887, 40.7554331818], [-74.0751096394, 40.75550688], [-74.0750114424, 40.7556229769], [-74.0749412244, 40.7557180025], [-74.0749124358, 40.7558661163], [-74.0749116266, 40.7559931589], [-74.0749387295, 40.7561097171], [-74.0750072624, 40.7562793636], [-74.0750759979, 40.7564172494], [-74.0751447337, 40.7565551352], [-74.0751986712, 40.7568305991], [-74.0752671381, 40.7570108323], [-74.0752519353, 40.7572119318], [-74.0751952342, 40.75737053], [-74.0751240036, 40.7576243589], [-74.0750105997, 40.7579415552], [-74.0748834743, 40.7582269394], [-74.0748133208, 40.758311378], [-74.0743944218, 40.7585004023], [-74.0739619355, 40.7586364392], [-74.0735016017, 40.7587723716], [-74.0731111515, 40.7588662122], [-74.0729439412, 40.7588867678], [-74.0727764597, 40.7589496707], [-74.0726506788, 40.7590233149], [-74.0725943768, 40.7591183905], [-74.0725516585, 40.7592664521], [-74.0724944066, 40.7595097439], [-74.0724793983, 40.7596790823], [-74.0724781773, 40.759869646], [-74.0724075442, 40.7600281912], [-74.0723233268, 40.7601337503], [-74.0720020754, 40.7602913663], [-74.0716525684, 40.7605123992], [-74.0712897479, 40.7606380974], [-74.0708705519, 40.7608694562], [-74.069585578, 40.7614893112], [-74.0685102553, 40.7619828904], [-74.0681193682, 40.7621402351], [-74.0673795654, 40.7624233164], [-74.0670165204, 40.7625807617], [-74.0665555265, 40.7628119478], [-74.0663318525, 40.76294874], [-74.0660664752, 40.7630747879], [-74.0658987012, 40.7631800281], [-74.0658008213, 40.7632431826], [-74.0654369407, 40.7635276651], [-74.0651573595, 40.7636960059], [-74.064920032, 40.7637903955], [-74.0643630755, 40.7637882944], [-74.0640570953, 40.7637342034], [-74.0638819692, 40.7636291219], [-74.0635990609, 40.7635101429], [-74.0632940527, 40.763307834], [-74.063141792, 40.7631696252], [-74.0629757468, 40.7630101898], [-74.0626985903, 40.7628079848], [-74.0625464013, 40.7626591884], [-74.0623383101, 40.7625419411], [-74.0620744557, 40.762435069], [-74.0619217129, 40.7623709666], [-74.0616573034, 40.7623487884], [-74.061350984, 40.7623476246], [-74.0609607748, 40.7623990764], [-74.0607517115, 40.7624300422], [-74.060514731, 40.7624714885], [-74.0603334447, 40.7625131464], [-74.0601939292, 40.7625549633], [-74.0600682674, 40.7626074199], [-74.0599700337, 40.7627235037], [-74.0599833989, 40.7628082516], [-74.0600105481, 40.7629142263], [-74.060037488, 40.7630519615], [-74.0600361765, 40.7631187215], [-74.060038916, 40.7632624079], [-74.0600631017, 40.7633908468], [-74.0599785114, 40.763549331], [-74.0598802064, 40.7636760015], [-74.0597816914, 40.7638344325], [-74.0597530053, 40.7639613684], [-74.0597795259, 40.7641626247], [-74.0598478887, 40.7643534535], [-74.0599438904, 40.764576149], [-74.0600948213, 40.764915512], [-74.0601200869, 40.7653073314], [-74.0601324755, 40.7655402951], [-74.0600753822, 40.7657518197], [-74.0598790449, 40.7659628133], [-74.0597110443, 40.7660998049], [-74.0594732112, 40.766268291], [-74.0592354469, 40.7664261898], [-74.0590258803, 40.7665312603], [-74.0587744696, 40.7666467576], [-74.0585788261, 40.7667518805], [-74.0584528047, 40.7668572695], [-74.0582843783, 40.76705778], [-74.0581298755, 40.7672583436], [-74.0580312809, 40.7674273598], [-74.0579047663, 40.767606856], [-74.0578201655, 40.7677653385], [-74.0577212885, 40.7679767017], [-74.0576645364, 40.7681352908], [-74.0575937188, 40.7683150001], [-74.0574811262, 40.7684945492], [-74.057382528, 40.7686635647], [-74.0571579021, 40.7689379677], [-74.0569476211, 40.7691489027], [-74.0567646966, 40.769434052], [-74.0566244607, 40.7695817328], [-74.0564901386, 40.769563462], [-74.0563345708, 40.769542301], [-74.0565698106, 40.7691958272], [-74.0566093415, 40.7691442324], [-74.0567415218, 40.7689717129], [-74.0568094953, 40.7689278678], [-74.0556192703, 40.7667869121], [-74.0521190816, 40.7609128401], [-74.0519098644, 40.7605546797], [-74.0517897973, 40.7604267384], [-74.051642178, 40.7603091386], [-74.0513523813, 40.7600823187], [-74.0499133486, 40.7595145711], [-74.0497984876, 40.7594305329], [-74.0496810338, 40.759323497], [-74.0495285167, 40.7591181057], [-74.0492570989, 40.7586134146], [-74.0490763829, 40.7585144901], [-74.0436648649, 40.7565852333], [-74.0426039173, 40.7528001139], [-74.0424339022, 40.7524927778], [-74.0421749359, 40.7522486649], [-74.0389572317, 40.7510243649], [-74.0388740746, 40.7509789565], [-74.0388401171, 40.7509115047], [-74.0388405564, 40.7508479301], [-74.0387230276, 40.7507764046], [-74.0378756355, 40.7502861585], [-74.0376606082, 40.7501610861], [-74.0378800734, 40.7498732255], [-74.0380169379, 40.7496552028], [-74.0386123416, 40.748307388], [-74.0388673232, 40.7479383467], [-74.0390041045, 40.7477966677], [-74.0390460506, 40.7477331856], [-74.0391211751, 40.747634494], [-74.0391569877, 40.7475771636], [-74.0391905516, 40.7475187948], [-74.0392415649, 40.7474162326], [-74.039295739, 40.7472805713], [-74.0394019097, 40.7470305137], [-74.0394589115, 40.7469099612], [-74.0395034895, 40.7468245294], [-74.0395615276, 40.7467171911], [-74.0396258239, 40.7466182845], [-74.0396538536, 40.7465772213], [-74.0397071231, 40.7465070931], [-74.0397956229, 40.7463985038], [-74.039842459, 40.7463453346], [-74.039975451, 40.7461962622], [-74.0401806628, 40.745976622], [-74.0403151673, 40.7458369912], [-74.0404069411, 40.7457440267], [-74.0406782163, 40.7454628861], [-74.0407572723, 40.7453822231], [-74.0408340723, 40.7453015512], [-74.0408711046, 40.7452632685], [-74.0409097219, 40.7452241343], [-74.0409390128, 40.745196286], [-74.0410178319, 40.745117166], [-74.0411315051, 40.7449884314], [-74.0412013822, 40.7448974379], [-74.0412392323, 40.7448385708], [-74.0412634044, 40.74480058], [-74.0412654848, 40.7447947794], [-74.0412714537, 40.7447781373], [-74.0412790543, 40.7447553497], [-74.0412859781, 40.7447325593], [-74.0412926764, 40.7447097682], [-74.0412986991, 40.7446868027], [-74.0413040452, 40.7446638345], [-74.0413070743, 40.7446497784], [-74.0414431674, 40.7445408623], [-74.0414517884, 40.7445336909], [-74.0414637195, 40.7445044011], [-74.0414663232, 40.744486569], [-74.0414547476, 40.7444312797], [-74.0414442108, 40.7443560935], [-74.0414381737, 40.7442826407], [-74.0414395625, 40.7442117908], [-74.0414447595, 40.7441776706], [-74.0414577495, 40.7441255672], [-74.0414877784, 40.7440558605], [-74.0415069509, 40.7440231681], [-74.041526537, 40.7439959675], [-74.0415953478, 40.7439286451], [-74.041645596, 40.7438708565], [-74.0417142069, 40.7437997589], [-74.0417658354, 40.7437380297], [-74.0418908471, 40.7435671349], [-74.0419496396, 40.743480386], [-74.0419737873, 40.7434458262], [-74.0420269393, 40.7433592265], [-74.0421172538, 40.7431821889], [-74.0421974646, 40.7429982488], [-74.0422193671, 40.742929196], [-74.0422277332, 40.7428933726], [-74.0422356246, 40.7428609785], [-74.0422466098, 40.7427721526], [-74.0422556218, 40.7426887973], [-74.0422556215, 40.7426887972], [-74.0422581867, 40.7426671741], [-74.0422582033, 40.7426671266], [-74.042258223, 40.7426669605], [-74.0422830546, 40.7424573081], [-74.0422749725, 40.742385906], [-74.0422577838, 40.7422609402], [-74.0422419498, 40.7421358082], [-74.0422303905, 40.7420451773], [-74.0422187267, 40.741969815], [-74.0421841914, 40.7417101037], [-74.0421640322, 40.7415578476], [-74.042155046, 40.7414538449], [-74.0421615558, 40.7414255628], [-74.042170065, 40.7414017494], [-74.0421884225, 40.7413561866], [-74.0422123801, 40.7413163075], [-74.0422503482, 40.7412727096], [-74.0422952801, 40.7412332568], [-74.0423134223, 40.741219089], [-74.0423589839, 40.7411865012], [-74.0424020032, 40.7411628245], [-74.0425142898, 40.7411033943], [-74.0425555092, 40.7410790242], [-74.042613626, 40.7410457683], [-74.0426136305, 40.7410457658], [-74.0427276115, 40.7409805429], [-74.042771326, 40.7409541238], [-74.0427767801, 40.7409507208], [-74.0428601258, 40.7408987177], [-74.0428602921, 40.7409001005], [-74.0428607287, 40.7408988406], [-74.0429543412, 40.7408429898], [-74.0431061575, 40.7407421973], [-74.0431936528, 40.7406795801], [-74.0432730525, 40.7406133279], [-74.0433302925, 40.7405550516], [-74.0433421282, 40.7405394861], [-74.0434924629, 40.740424276], [-74.0435680732, 40.7403513178], [-74.0435876205, 40.7403240791]]], ""type"": ""Polygon""}";Ward D
B;228.0;40.7264389115,-74.0848041282;"{""coordinates"": [[[-74.0807401675, 40.714069798], [-74.0825114226, 40.7118851], [-74.0834867044, 40.7105890923], [-74.0842053986, 40.7096664508], [-74.0861494537, 40.7073122809], [-74.0872403206, 40.7080236734], [-74.0866903006, 40.7084093696], [-74.086421596, 40.7086119309], [-74.0861525897, 40.7088629484], [-74.0859600553, 40.7091045481], [-74.0857929909, 40.7093462388], [-74.0856638921, 40.7096268319], [-74.0855600234, 40.7099462818], [-74.0902277847, 40.7130642563], [-74.0922217574, 40.7119083256], [-74.095494495, 40.7141004489], [-74.0963860002, 40.7146019998], [-74.1016860002, 40.7177019998], [-74.1034134615, 40.7187636172], [-74.100474369, 40.7210851282], [-74.0979191586, 40.7304243809], [-74.0971368821, 40.7323022534], [-74.0953939422, 40.7346935071], [-74.0916273107, 40.7375322071], [-74.0861988198, 40.7395726244], [-74.081192581, 40.7406636644], [-74.0780579677, 40.7422366709], [-74.0769641501, 40.7431292763], [-74.0759299495, 40.7429629899], [-74.074737205, 40.7427214477], [-74.072163172, 40.7422868483], [-74.070559079, 40.7419766185], [-74.0715989762, 40.7402234319], [-74.0717368511, 40.7400988305], [-74.0720834068, 40.7394954026], [-74.072321469, 40.738709115], [-74.0728079482, 40.7376578812], [-74.0725961946, 40.7375476233], [-74.0698735978, 40.7367555525], [-74.0700120393, 40.7365423333], [-74.071348501, 40.7343995282], [-74.0734886234, 40.7308782201], [-74.0714516792, 40.7300678652], [-74.0707001398, 40.7297157979], [-74.0694971155, 40.7292421425], [-74.0700992207, 40.7283216758], [-74.0671942794, 40.7271795871], [-74.0675006059, 40.7264352682], [-74.0676901286, 40.7258815462], [-74.0680505745, 40.7253014014], [-74.0694819916, 40.7245798812], [-74.0697250851, 40.7244160309], [-74.0698789457, 40.7242615391], [-74.0701363967, 40.7238457606], [-74.070483449, 40.7233624738], [-74.0720869118, 40.7216239455], [-74.0747409471, 40.7189201113], [-74.0774402001, 40.7170886229], [-74.0781541587, 40.7165921467], [-74.0784377147, 40.7163282299], [-74.0802168838, 40.7146650913], [-74.0807401675, 40.714069798]]], ""type"": ""Polygon""}";Ward B
A;39.0;40.6880876595,-74.0766561141;"{""coordinates"": [[[-74.0855600234, 40.7099462818], [-74.0856638921, 40.7096268319], [-74.0857929909, 40.7093462388], [-74.0859600553, 40.7091045481], [-74.0861525898, 40.7088629484], [-74.086421596, 40.7086119309], [-74.0866903006, 40.7084093696], [-74.0872403206, 40.7080236734], [-74.0861494537, 40.7073122809], [-74.086768547, 40.7065066674], [-74.0868837189, 40.7064119523], [-74.0872883175, 40.7058696143], [-74.087395695, 40.7057697108], [-74.0875168163, 40.7056051139], [-74.0886335057, 40.7047614009], [-74.082979674, 40.701031151], [-74.0811660589, 40.7028874953], [-74.0786366047, 40.7009598899], [-74.0783125633, 40.7011410341], [-74.0775249626, 40.7005039723], [-74.0772142432, 40.7002253801], [-74.0766806817, 40.7005960069], [-74.0760850002, 40.7009019998], [-74.075332714, 40.701272802], [-74.0727103696, 40.702507708], [-74.0714850002, 40.7022019998], [-74.0705850002, 40.7020019998], [-74.0702850002, 40.7019019998], [-74.0701219186, 40.7018127026], [-74.0698563174, 40.7016900715], [-74.0695754579, 40.7015731754], [-74.0687197933, 40.7008922636], [-74.0680914594, 40.7003685926], [-74.0672210537, 40.6996181048], [-74.0674380129, 40.6990222939], [-74.068204429, 40.6969973393], [-74.0625911538, 40.6937101677], [-74.0606194937, 40.6926166427], [-74.055202929, 40.6896152413], [-74.036844919, 40.6802849031], [-74.0488982605, 40.6607171936], [-74.0610881995, 40.6652300502], [-74.0629619117, 40.6660717017], [-74.0655777571, 40.6672466252], [-74.0977560456, 40.6802821505], [-74.102293432, 40.6906745306], [-74.1010302139, 40.6921343621], [-74.103017409, 40.695515214], [-74.1078295522, 40.6979807508], [-74.1079076519, 40.6979001675], [-74.1095994003, 40.6985694005], [-74.1106326583, 40.6989781247], [-74.1112567826, 40.6992645355], [-74.1091264493, 40.7016262337], [-74.1119628869, 40.7151034838], [-74.1048681539, 40.7176145062], [-74.1034134615, 40.7187636172], [-74.1016860002, 40.7177019998], [-74.0963860002, 40.7146019998], [-74.095494495, 40.7141004489], [-74.0922217574, 40.7119083256], [-74.0902277847, 40.7130642563], [-74.0855600234, 40.7099462818]]], ""type"": ""Polygon""}";Ward A
E;860.0;40.7226991589,-74.0365802718;"{""coordinates"": [[[-74.0514919258, 40.7117517975], [-74.0466804459, 40.7206757826], [-74.0561035108, 40.7235821645], [-74.0544965242, 40.7261772889], [-74.0539465363, 40.7274732155], [-74.0535845037, 40.7283267568], [-74.0519850002, 40.7307009998], [-74.0514952028, 40.7312796711], [-74.051884687, 40.7314480014], [-74.051678371, 40.7315566743], [-74.0514922275, 40.7317227688], [-74.0513267114, 40.731878517], [-74.0504382859, 40.7325319045], [-74.0501277674, 40.7328486906], [-74.0490508744, 40.7340069982], [-74.0482692966, 40.7350674037], [-74.0462028024, 40.7356066675], [-74.0445552791, 40.736006796], [-74.0437731278, 40.7361340332], [-74.0428152892, 40.7363083125], [-74.042763717, 40.7361750328], [-74.0428151243, 40.7359477197], [-74.0426492834, 40.7359623891], [-74.0418170925, 40.7360954401], [-74.0404704515, 40.7362859217], [-74.0402653287, 40.736345382], [-74.0396172175, 40.7364834454], [-74.0391758285, 40.7363307519], [-74.0388194083, 40.7363044521], [-74.0385752058, 40.7363226821], [-74.0344464838, 40.7350421214], [-74.03331905, 40.7346836536], [-74.0300246312, 40.7336640669], [-74.0282033803, 40.7330991672], [-74.0254169356, 40.7322349048], [-74.0198108353, 40.7306623338], [-74.0235764943, 40.7085187218], [-74.0320187266, 40.7094461345], [-74.0502181281, 40.7116015937], [-74.0514919258, 40.7117517975]]], ""type"": ""Polygon""}";Ward E
F;1562.0;40.7041048593,-74.0537255744;"{""coordinates"": [[[-74.0672168732, 40.7248210907], [-74.0641918182, 40.7237682343], [-74.0641534753, 40.723779669], [-74.0616442304, 40.7229895874], [-74.0554361134, 40.7210234051], [-74.0546979795, 40.7231487174], [-74.0466804459, 40.7206757826], [-74.0514919258, 40.7117517975], [-74.0502181281, 40.7116015937], [-74.0320187266, 40.7094461345], [-74.0235764943, 40.7085187218], [-74.025150678, 40.6992573409], [-74.036844919, 40.6802849031], [-74.055202929, 40.6896152413], [-74.0606194937, 40.6926166427], [-74.0625911538, 40.6937101677], [-74.068204429, 40.6969973393], [-74.0674380129, 40.6990222939], [-74.0672210537, 40.6996181048], [-74.0680914594, 40.7003685926], [-74.0687197933, 40.7008922636], [-74.0695754579, 40.7015731754], [-74.0698563174, 40.7016900715], [-74.0701219186, 40.7018127026], [-74.0702850002, 40.7019019998], [-74.0705850002, 40.7020019998], [-74.0714850002, 40.7022019998], [-74.0727103696, 40.702507708], [-74.075332714, 40.701272802], [-74.0760850002, 40.7009019998], [-74.0766806817, 40.7005960069], [-74.0772142432, 40.7002253801], [-74.0775249626, 40.7005039723], [-74.0783125633, 40.7011410341], [-74.0786366047, 40.7009598899], [-74.0811660589, 40.7028874953], [-74.082979674, 40.701031151], [-74.0886335057, 40.7047614009], [-74.0875168163, 40.7056051139], [-74.087395695, 40.7057697108], [-74.0872883175, 40.7058696143], [-74.0868837189, 40.7064119523], [-74.086768547, 40.7065066674], [-74.0861494537, 40.7073122809], [-74.0842053986, 40.7096664508], [-74.0834867044, 40.7105890923], [-74.0825114226, 40.7118851], [-74.0807401675, 40.714069798], [-74.0802168838, 40.7146650913], [-74.0784377147, 40.7163282299], [-74.0781541587, 40.7165921467], [-74.0774402001, 40.7170886229], [-74.0747409471, 40.7189201113], [-74.0720869118, 40.7216239455], [-74.070483449, 40.7233624738], [-74.0701363967, 40.7238457606], [-74.0698789457, 40.7242615391], [-74.0697250851, 40.7244160309], [-74.0694819916, 40.7245798812], [-74.0680505745, 40.7253014014], [-74.0672168732, 40.7248210907]], [[-74.0401550002, 40.6992759998], [-74.0398170002, 40.6990089998], [-74.0397240002, 40.6990239998], [-74.0396460002, 40.6990759998], [-74.0396070002, 40.6991279998], [-74.0395330002, 40.6991689998], [-74.0394500002, 40.6991429998], [-74.0393810002, 40.6990679998], [-74.0393270002, 40.6989609998], [-74.0392490002, 40.6988899998], [-74.0391170002, 40.6988459998], [-74.0388670002, 40.6988379998], [-74.0386900002, 40.6988489998], [-74.0384360002, 40.6988789998], [-74.0382790002, 40.6989309998], [-74.0381170002, 40.6989869998], [-74.0379850002, 40.6990389998], [-74.0379570002, 40.6991039998], [-74.0380250002, 40.6991739998], [-74.0381670002, 40.6992079998], [-74.0394030002, 40.7004679998], [-74.0394910002, 40.7005089998], [-74.0396080002, 40.7005379998], [-74.0397260002, 40.7005899998], [-74.0397950002, 40.7006269998], [-74.0399320002, 40.7006529998], [-74.0400640002, 40.7006349998], [-74.0401770002, 40.7006049998], [-74.0403120002, 40.7005389998], [-74.0403610002, 40.7004759998], [-74.0403460002, 40.7003869998], [-74.0403020002, 40.7002749998], [-74.0402920002, 40.7001709998], [-74.0402090002, 40.7001419998], [-74.0401210002, 40.7001009998], [-74.0401010002, 40.7000339998], [-74.0401750002, 40.6999079998], [-74.0401700002, 40.6998369998], [-74.0401500002, 40.6997369998], [-74.0401060002, 40.6996179998], [-74.0400030002, 40.6995469998], [-74.0398760002, 40.6994469998], [-74.0397340002, 40.6993729998], [-74.0396650002, 40.6992759998], [-74.0401550002, 40.6992759998]], [[-74.0469275071, 40.6900555078], [-74.0474294139, 40.6898299362], [-74.0475711377, 40.6900135131], [-74.0477667213, 40.6899202954], [-74.0474960695, 40.6895828711], [-74.0468052128, 40.6898818994], [-74.046295809, 40.6892962085], [-74.0447998067, 40.6885433941], [-74.0443649375, 40.6884674808], [-74.0439420201, 40.6885449554], [-74.0435962357, 40.6887463966], [-74.0434694627, 40.689230655], [-74.0434408029, 40.6896213173], [-74.0438850002, 40.6902019998], [-74.0445845244, 40.6905755676], [-74.046023326, 40.6911451382], [-74.0472977121, 40.6910462653], [-74.0472111211, 40.6903979308], [-74.0469275071, 40.6900555078]]], ""type"": ""Polygon""}";Ward F
